City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
39,Kieta,PG,83.73,-6.22,155.63,light rain,
65,Butaritari,KI,83.77,3.07,172.79,light rain,Isles Sunset Lodge
72,Kavieng,PG,84.33,-2.57,150.8,light rain,Nusa Island Retreat
87,Sinnamary,GF,78.67,5.38,-52.95,moderate rain,ALETHEIA Appartement Sinnamary
102,Cayenne,GF,77.0,4.93,-52.33,moderate rain,Hôtel Le Dronmi
119,Faanui,PF,82.24,-16.48,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
126,Biak,ID,84.06,-0.91,122.88,light rain,Kost Ariz
130,Puerto Ayacucho,VE,76.03,5.66,-67.62,light rain,Posada Turistica Manapiare
134,Bouna,CI,76.89,9.27,-3.0,light rain,Hotel Reserve
137,Padang,ID,88.18,-0.95,100.35,light rain,Mercure Padang
157,Auki,SB,83.88,-8.77,160.7,light rain,Auki Motel
175,Micheweni,TZ,80.53,-4.97,39.83,light rain,
179,Marawi,PH,82.49,8.0,124.29,light rain,Derogongan Residence
210,Tura,IN,79.81,25.52,90.22,light rain,Hotel RIKMAN Continental
223,Barra Dos Coqueiros,BR,79.7,-10.91,-37.04,light rain,Quality Hotel Aracaju
224,Kokopo,PG,83.44,-4.35,152.26,light rain,Kokopo Beach Bungalow Resort
226,Thinadhoo,MV,85.01,0.53,72.93,light rain,
237,Kilifi,KE,78.4,-3.63,39.85,light rain,Baobab Sea Lodge
251,Port Blair,IN,84.47,11.67,92.75,light rain,Hotel Sentinel
256,Dingle,PH,89.37,11.0,122.67,light rain,Camp Pasica
257,Kirakira,SB,83.61,-10.45,161.92,moderate rain,SanBiz Lodge
260,Kanniyakumari,IN,85.32,8.08,77.57,light rain,New Cape Hotel
264,Lufilufi,WS,84.0,-13.87,-171.6,moderate rain,Leuaina Beach Resort and Spa
299,Alofi,NU,82.4,-19.06,-169.92,light rain,Taloa Heights
302,Samarai,PG,84.61,-10.62,150.67,light rain,Nuli Sapi
325,Tual,ID,84.9,-5.67,132.75,moderate rain,Grand Vilia Hotel
343,San Policarpo,PH,83.21,12.18,125.51,light rain,Zal-Ann Beach Resort
351,Kribi,CM,76.87,2.95,9.92,light rain,Les Vagues bleues
358,Salinopolis,BR,81.12,-0.61,-47.36,light rain,Hotel Salinópolis
371,Merauke,ID,89.24,-8.47,140.33,light rain,
376,Harper,LR,80.53,4.38,-7.72,light rain,Cape View Guest House
381,Port-Gentil,GA,79.81,-0.72,8.78,light rain,Fengshui Residence
393,Mayumba,GA,78.55,-3.43,10.66,light rain,LIKWALE LODGE
399,Gorontalo,ID,86.0,0.54,123.06,light rain,Maqna Hotel by Prasanthi
402,Simbahan,PH,84.96,6.3,120.58,light rain,
423,Lethem,GY,80.24,3.38,-59.8,light rain,Savannah Inn
429,Mossoro,BR,77.02,-5.19,-37.34,moderate rain,Hotel Thermas
456,Maragogi,BR,78.94,-9.01,-35.22,light rain,Hotel Praia Dourada
470,Kilindoni,TZ,81.09,-7.91,39.67,light rain,Bustani B&B
541,Mahibadhoo,MV,85.19,3.78,72.97,light rain,Omadhoo Inn
549,Vanimo,PG,81.81,-2.67,141.3,moderate rain,Vahmoneh Lodge Vanimo
